R0,peak,15 days before peak
1.266,11.478,9.389
1.267,11.51,9.405
1.268,11.541,9.42
1.269,11.571,9.434
1.27,11.6,9.447
1.271,11.627,9.459
1.272,11.654,9.469
1.273,11.679,9.478
1.274,11.703,9.486
1.275,11.726,9.493
1.276,11.897,9.647
1.277,11.919,9.652
1.278,11.939,9.656
1.279,11.958,9.659
1.28,11.976,9.661
1.281,11.992,9.661
1.282,12.007,9.661
1.283,12.179,9.814
1.284,12.193,9.811
1.285,12.205,9.807
1.286,12.216,9.803
1.287,12.226,9.796
1.288,12.234,9.789
1.289,12.406,9.941
1.29,12.413,9.932
1.291,12.419,9.921
1.292,12.423,9.91
1.293,12.426,9.896
1.294,12.597,10.048
1.295,12.598,10.033
1.296,12.598,10.017
1.297,12.596,9.999
1.298,12.593,9.98
1.299,12.765,10.131
1.3,12.76,10.11
1.301,12.753,10.088
1.302,12.746,10.065
1.303,12.917,10.215
1.304,12.908,10.19
1.305,12.896,10.163
1.306,12.884,10.134
1.307,13.055,10.285
1.308,13.041,10.254
1.309,13.024,10.223
1.31,13.007,10.19
1.311,13.178,10.339
1.312,13.159,10.304
1.313,13.137,10.267
1.314,13.309,10.417
1.315,13.286,10.378
1.316,13.261,10.338
1.317,13.432,10.487
1.318,13.405,10.445
1.319,13.377,10.402
1.32,13.548,10.551
1.321,13.518,10.505
1.322,13.486,10.458
1.323,13.452,10.409
1.324,13.623,10.557
1.325,13.587,10.506
1.326,13.758,10.654
1.327,13.72,10.601
1.328,13.68,10.547
1.329,13.851,10.694
1.33,13.809,10.638
1.331,13.766,10.58
1.332,13.937,10.727
1.333,13.891,10.666
1.334,13.843,10.604
1.335,14.013,10.751
1.336,13.963,10.687
1.337,14.134,10.834
1.338,14.082,10.767
1.339,14.028,10.699
1.34,14.198,10.845
1.341,14.142,10.775
1.342,14.084,10.703
1.343,14.254,10.848
1.344,14.193,10.774
1.345,14.363,10.92
1.346,14.3,10.843
1.347,14.47,10.989
1.348,14.405,10.91
1.349,14.337,10.829
1.35,14.507,10.974
1.351,14.437,10.891
1.352,14.607,11.036
1.353,14.535,10.95
1.354,14.705,11.095
1.355,14.63,11.007
1.356,14.553,10.918
1.357,14.723,11.062
1.358,14.643,10.97
1.359,14.813,11.114
1.36,14.731,11.02
1.361,14.9,11.163
1.362,14.816,11.067
1.363,14.985,11.21
1.364,14.898,11.111
1.365,14.809,11.011
1.366,14.978,11.152
1.367,14.886,11.05
1.368,15.054,11.191
1.369,14.96,11.086
1.37,15.129,11.228
1.371,15.031,11.12
1.372,15.2,11.261
1.373,15.1,11.151
1.374,15.268,11.292
1.375,15.166,11.179
1.376,15.334,11.32
1.377,15.228,11.205
1.378,15.397,11.345
1.379,15.288,11.227
1.38,15.456,11.367
1.381,15.345,11.247
1.382,15.513,11.387
1.383,15.399,11.264
1.384,15.567,11.403
1.385,15.45,11.278
1.386,15.617,11.417
1.387,15.498,11.29
1.388,15.665,11.428
1.389,15.542,11.298
1.39,15.71,11.436
1.391,15.584,11.303
1.392,15.751,11.441
1.393,15.622,11.306
1.394,15.789,11.443
1.395,15.956,11.581
1.396,15.824,11.442
1.397,15.991,11.579
1.398,15.856,11.438
1.399,16.022,11.575
1.4,15.884,11.431
1.401,16.051,11.567
1.402,15.909,11.421
1.403,16.075,11.557
1.404,15.931,11.408
1.405,16.097,11.543
1.406,16.263,11.679
1.407,16.115,11.526
1.408,16.281,11.662
1.409,16.13,11.506
1.41,16.295,11.641
1.411,16.141,11.484
1.412,16.306,11.618
1.413,16.472,11.753
1.414,16.313,11.591
1.415,16.479,11.726
1.416,16.317,11.562
1.417,16.482,11.695
1.418,16.317,11.529
1.419,16.482,11.662
1.42,16.647,11.796
1.421,16.478,11.625
1.422,16.643,11.758
1.423,16.471,11.585
1.424,16.635,11.718
1.425,16.8,11.851
1.426,16.624,11.674
1.427,16.788,11.806
1.428,16.608,11.627
1.429,16.772,11.759
1.43,16.936,11.891
1.431,16.753,11.708
1.432,16.917,11.839
1.433,16.73,11.654
1.434,16.893,11.785
1.435,17.057,11.916
1.436,16.866,11.727
1.437,17.029,11.857
1.438,16.834,11.666
1.439,16.997,11.795
1.44,17.16,11.925
1.441,16.961,11.73
1.442,17.124,11.859
1.443,17.287,11.99
1.444,17.084,11.79
1.445,17.247,11.92
1.446,17.04,11.718
1.447,17.202,11.846
1.448,17.365,11.975
1.449,17.154,11.77
1.45,17.316,11.898
1.451,17.478,12.027
1.452,17.263,11.817
1.453,17.424,11.945
1.454,17.587,12.074
1.455,17.367,11.86
1.456,17.528,11.988
1.457,17.305,11.773
1.458,17.466,11.899
1.459,17.627,12.026
1.46,17.399,11.807
1.461,17.56,11.933
1.462,17.721,12.06
1.463,17.489,11.837
1.464,17.65,11.963
1.465,17.811,12.089
1.466,17.574,11.863
1.467,17.734,11.988
1.468,17.895,12.113
1.469,17.653,11.883
1.47,17.813,12.008
1.471,17.974,12.133
1.472,17.727,11.9
1.473,17.887,12.024
1.474,18.047,12.149
1.475,17.796,11.911
1.476,17.956,12.035
1.477,18.116,12.159
1.478,17.86,11.918
1.479,18.019,12.041
1.48,18.179,12.165
1.481,17.919,11.92
1.482,18.078,12.042
1.483,18.237,12.166
1.484,17.972,11.917
1.485,18.13,12.039
1.486,18.289,12.162
1.487,18.02,11.91
1.488,18.178,12.031
1.489,18.336,12.153
1.49,18.062,11.898
1.491,18.219,12.018
1.492,18.377,12.14
1.493,18.536,12.261
1.494,18.256,12.001
1.495,18.413,12.121
1.496,18.571,12.242
1.497,18.286,11.978
1.498,18.443,12.098
1.499,18.601,12.218
1.5,18.311,11.951
