,R0,Sero_peak
292,1.292,14.2038
293,1.293,14.2419
294,1.294,14.2791
295,1.295,14.3173
296,1.296,14.3566
297,1.297,14.3928
298,1.298,14.4323
299,1.299,14.4686
300,1.3,14.5061
301,1.301,14.5448
302,1.302,14.5804
303,1.303,14.6193
304,1.304,14.655
305,1.305,14.692
306,1.306,14.7303
307,1.307,14.7676
308,1.308,14.804
309,1.309,14.8393
310,1.31,14.876
311,1.311,14.9141
312,1.312,14.9488
313,1.313,14.985
314,1.314,15.0225
315,1.315,15.0591
316,1.316,15.0948
317,1.317,15.1295
318,1.318,15.1656
319,1.319,15.2009
320,1.32,15.2376
321,1.321,15.2734
322,1.322,15.3082
323,1.323,15.3446
324,1.324,15.3801
325,1.325,15.4147
326,1.326,15.4483
327,1.327,15.4836
328,1.328,15.5179
329,1.329,15.5538
330,1.33,15.5889
331,1.331,15.6231
332,1.332,15.6589
333,1.333,15.6912
334,1.334,15.7253
335,1.335,15.7611
336,1.336,15.796
337,1.337,15.83
338,1.338,15.8631
339,1.339,15.898
340,1.34,15.9293
341,1.341,15.9652
342,1.342,15.9975
343,1.343,16.0316
344,1.344,16.0649
345,1.345,16.0973
346,1.346,16.1316
347,1.347,16.165
348,1.348,16.1976
349,1.349,16.2322
350,1.35,16.263
351,1.351,16.2958
352,1.352,16.3307
353,1.353,16.3618
354,1.354,16.395
355,1.355,16.4273
356,1.356,16.4588
357,1.357,16.4924
358,1.358,16.5251
359,1.359,16.557
360,1.36,16.5881
361,1.361,16.6213
362,1.362,16.6537
363,1.363,16.6853
364,1.364,16.716
365,1.365,16.7459
366,1.366,16.778
367,1.367,16.8094
368,1.368,16.843
369,1.369,16.8727
370,1.37,16.9047
371,1.371,16.9359
372,1.372,16.9662
373,1.373,16.999
374,1.374,17.0277
375,1.375,17.0589
376,1.376,17.0892
377,1.377,17.122
378,1.378,17.1507
379,1.379,17.1819
380,1.38,17.2124
381,1.381,17.242
382,1.382,17.2741
383,1.383,17.3021
384,1.384,17.3327
385,1.385,17.3625
386,1.386,17.3915
387,1.387,17.4231
388,1.388,17.454
389,1.389,17.4841
390,1.39,17.5134
391,1.391,17.5419
392,1.392,17.5696
393,1.393,17.6001
394,1.394,17.6298
395,1.395,17.6587
396,1.396,17.6869
397,1.397,17.7178
398,1.398,17.748
399,1.399,17.7739
400,1.4,17.8026
401,1.401,17.8341
402,1.402,17.8613
403,1.403,17.8914
404,1.404,17.917
405,1.405,17.9456
406,1.406,17.9771
407,1.407,18.0042
408,1.408,18.0305
409,1.409,18.0598
410,1.41,18.0884
411,1.411,18.1163
412,1.412,18.1434
413,1.413,18.1736
